CEO,Sector,Subsector,Resuma en una frase su producto o servicio
JUAN CARLOS MOYANO CHAVEZ,BPO - RPA,Logistica y/o Transporte ,"Somos un proveedor de Servicios de Proceso de Negocio (BPS) especializados en soluciones logísticas en: (i) entregas de productos, (ii) entrega de servicios y (iii) administración de flota, bajo un enfoque de integración de datos a través de desarrollo o integración de soluciones tecnológicas y una constante formación de un equipo humano de alto impacto en nuestros clientes."
LA OFICINA DE JUEGOS ,Comunicaciones y marketing,Entretenimiento ,En la Oficina de Juegos puedes encontrar diferentes tipos de juegos de mesa para toda ocasión y para todos los gustos. Descubre muchos juegos más allá del Monopolio y el Clue. 
Camilo Fernández Vergara,Salud,Belleza,Tratamientos estéticos asequibles para todo el mundo
Margarita Vesga Díaz,Servicios de consultoria,Bienestar ,"Coaching, Consultoría y yoga para el desarrollo organizacional, de gestión y liderazgo."
"1. Felipe Herrera
2. Julián Quiroga
3. Miguel García",Servicios de consultoria,"Impacto social 
",Información oportuna para la toma de decisiones por medio de evaluaciones de impacto de proyectos.
Juan Sebastián Villegas Santos,Tecnología,Financiero,"Para empresas que tienen el reto de hacer seguimiento a sus procesos y tomar decisiones dinámicas, mi proyecto les permite analizar en tiempo real sus indicadores y el impacto que tiene sobre su actividad financiera alcanzado por medio del desarrollo de reportes interactivos que utilizan la analítica de datos para visualizar y entender de manera acertada y concurrente los cambios y flujos de valor dentro de sus operaciones internas."
Dario Rozo,Agropecuario,Agropecuario,invernaderos tipo europeo con posibilidad de mecanizar y automatizar.Faciles de armar como un mecano.
Carlos Alberto Páez Martínez,Educación,Recurso hídrico,Desarrollo de una página web que ofrece información y herramientas para estudiantes y profesionales en el área de aguas
María constanza PardoSarmiento ,Alimentos y/o bebidas,Alimentos y/o bebidas ,"KISSCAO Cacao soluble 100% NATURAL. Avalado por la Asociación de Diabetes de Colombia. Apto pata TIDA LA FAMILIA!
Cultivado en el Golfo de Urabá. Lleva en cada grano los vientos de las montañas del continente y el aroma salado Del Mar Caribe."
Diana Acuña Estupiñan,Servicios de consultoria,"Financiero
","Somos una empresa de acompañamiento en finanzas para personas, emprendedoras y consultoría corporativa. Estamos comprometidos con la salud financiera a nivel latinoamericano y estamos creando una metodología de mentoría que permita a las personas crecer en sus metas financieras. "
Jenny Cortes Gomez,Industria,Retail,"MoreMio es una marca de moda sostenible diseñada para mamá e hija. Partiendo de un estilo muy cómodo, buscamos fortalecer valores y hábitos ambientales en las familias mediante el vínculo de mamá e hija."
LEONARDO ANDRES BRITO ARCILA,"Alimentos y/o bebidas,Industria",Retail,"En Handy Can, tenemos un sólo objetivo en mente: Innovar con sentido, abordando el problema del fecalismo en nuestra comunidad, con alto nivel de confiabilidad. Nuestra pasión por la excelencia nos condujo a materializar esta misión, siendo ésta la parte fundamental que nos ha impulsado a seguir adelante. Sabemos que cada producto es importante, por lo que procuramos que todo el proceso sea lo más agradable posible.

Somos productores, comercializadores y distribuidores de productos para mascotas. Dentro de nuestro portafolio de productos encuentran: Recogedores y bolsas biodegradables para las heces de los perritos, spray repelente de orines, baño seco, comida dieta barf de res / cordero, huesos horneado y snack de cordero horneados. Todos nuestros productos son naturales libres de químicos y 0 conservantes.   "
Daniel Carrillo Morales,Servicios de consultoria,Servicios Migratorios,"Somos una compañía con representación en Colombia y
Estados Unidos que apoya a empresarios y profesionales
exitosos que buscan expandir su negocio, abrir una
empresa y/o trasladarse para empezar una nueva vida
laboral con su familia en los Estados Unidos"
Daniel Felipe Gonzalez Huertas,Tecnología,Inmobiliario ,Plataforma de inversion inmobiliaria en Europa a partir de datos y AI. 
Omar Santiago Castelblanco ,"Servicios de consultoria,Tecnología",Legal y financiero ,"Firma de servicios legales, contables, financieros y administrativos a startups, empresas e individuos de alto valor patrimonial. Expertos en el uso de nuevas tecnologías financieras y adminisitración de portafolios y patrimonios. Hacemos y asesoramos inversión en Venture Capital y en activos de riesgo, tradicionales y alternativos.  "
Wilson Andres Celis Meneses / Lina Andrea Morales Jimenez,Servicios de consultoria,Legal,"Prestamos servicios legales integrales a las MiPymes y emprendimientos en todas sus etapas, acompañándolos a crecer, entendiendo las necesidades corporativas y viendo los riesgos que cada tipo de negocio tiene. "
"Deisy Yolima Niño García
Carlos Andrés Lemus Medina",Alimentos y/o bebidas,Alimentos y/o bebidas ,"Creamos postres saludables, sin azucar ni harinas refinadas. Tenemos tortas, granolas, mermeladas y otros postres deliciosos."
"Nicolás Eduardo Velásquez Saavedra
Juan Pablo Jurado 
",Tecnología,Development ,"Somos un equipo técnico y creativo de talla mundial que ayuda a las empresas a crear productos IoT de primera línea, impulsando la adopción mundial de dispositivos conectados e impactando en millones de vidas."
Daniel Alberto Gutierrez Dueñas,Servicios de consultoria,Marketing y financiero ,"En Fcomcept, somos expertos en Finanzas, Marketing Digital y Comercial, Estrategia, gestión del talento humano y formación empresarial. Ofrecemos soluciones gerenciales personalizadas para las empresas, adaptándonos a las necesidades específicas de cada cliente. Nuestro objetivo es generar valor para todos los grupos de interés involucrados, desde accionistas hasta empleados y clientes. Con Fcomcept, podrá maximizar su potencial empresarial y alcanzar el éxito en su industria"
Sara Ruiz López,"Tecnología,Servicios de consultoria",Recursos humanos ,Plataforma de psicometría en la nube para procesos talento humano (selección y desarrollo)
Walther vergara,Comunicaciones y marketing,"
Retail",Servicio de.alquiler de vitrinas móviles para la activación de marcas ✔️ 
Jenny Cortes Gomez,Industria,Retail,"Somos MoreMio, una marca de moda sostenible, inspirada en el cuidado y recuperación del medio ambiente y el amor madre e hija. Nuestra colección esta elaborada con insumos y textiles ecológicos y 100% colombianos."
João Leite,Tecnología,Financiero ,La plataforma líder en adelantos de nómina y beneficios laborales en Colombia!
Alejandra Pérez Caicedo,Servicios de consultoria,Inmobiliario ,"ContuHogar es una empresa con amplia experiencia y trayectoria en la prestación de servicios de asesoría en el sector financiero e inmobiliario, dirigido a todos los mercados, principalmente a residentes en el exterior y otros servicios inherentes.
Trabajamos de la mano con varios bancos colombianos aliados, al igual que con varias constructoras e inmobiliarias en toda Colombia.

Desde su creación en el 2009, ContuHogar ha sido una empresa que se esfuerza por ofrecer una alternativa única en incentivar a los clientes a creer en nuestro país e invertir en finca raíz, asegurando desde ya un sitio donde vivir en Colombia, para ahora o para cuando el residente en el exterior decida regresar a su país; para sus familias e incluso como inversión."
"Sandra Patricia Bonilla Gerena
Luis Alejandro Sainea Rojas",Tecnología,tecnología de información,Somos una Compañía dedicada a la investigación de delitos informáticos 
"Juan Sebastian Garzón Cano
Santiago Villadiego Mogollón",Comunicaciones y marketing,"Comunicaciones 
","Keep Up es la mediatech que informa a la nueva generación de Latam a través de la primer red sociale de noticias de la región.
Actualmente, ayudamos a las empresas a llegar a audiencias jóvenes y facilitamos la comunicación interna de las organizaciones."
Daniel Arturo Rodríguez Peña,"Servicios de consultoria,Tecnología",tecnología de información,"Proveemos servicios asociados a la
hiperautomatización de procesos que
generen valor a las organizaciones
usando la sinergia entre: personas,
conocimientos, experiencia, innovación y
tecnología."
Jorge Andrés Rozo Zamora,Comunicaciones y marketing,tecnología de información,"Vendedor Virtual es una plataforma colaborativa de contenidos para Emprendedores y Fundaciones
Tenemos el objetivo de visibilizar y apoyar el posicionamiento orgánico (SEO) de Emprendimientos y Fundaciones para que mejoren su ranking y presencia en los motores de búsqueda."
Nicolas Gonzalez Varon,Tecnología,E-commerce ,"Shopealo es una solución todo en uno que ofrece a los vendedores y compradores en América latina un ecosistema de soluciones integrales, para que los emprendedores puedan tener su tienda online de forma fácil, rápida y segura. Contamos con una suite de herramientas que les permite invertir menos y vender a más personas sus productos o servicios. Nuestra meta es llegar a ser el Marketplace líder en innovación presentando diferentes herramientas y formas de llegar a más personas dándole a los latinos una forma online de optimizar sus recursos y mejorar las oportunidades apoyando el desarrollo de las economías locales "
Luisa Fernanda Pinzón Rey ,Industria,Retail,"Empresa de artes gráficas, dedicada a la elaboración de cajas plegadizas, impresiones públicomerciales, brochures, folders, libros, revistas entre otras. Contamos con troquelado, estampado, pegue de cajas y acabados. "
Camilo Rodriguez Rodriguez,Servicios de consultoria,"Financiero
","Consientes de las necesidades del ecosistema de Emprendimiento regional, tenemos las capacidades para orientar a posibles inversionistas, a entidades que quieran promover el emprendimiento y la innovación o a emprendedores en etapa de maduración y aceleración en la selección del mejor camino para optimizar los resultados deseados. Contamos con mas de 20 años de experiencia en el ámbito empresarial y mas de 10 en temas de emprendimiento. Lo anterior cómo?:

“Ofrecer al inversionista propuestas innovadoras de inversión con una metodología de riesgo que le permita invertir con confianza y seguridad”

“Ofrecemos soluciones para emprendedores y empresarios, en cualquier etapa de desarrollo y para cualquier sector de industria, a través del desarrollo metodológico* del Plan de Negocios que permita incrementar su probabilidad de éxito, tanto en la ejecución como en la presentación a posibles inversionistas.”

“Acompañamiento a instituciones para el fortalecimiento de programas de emprendimiento sostenibles y de impacto social en tu comunidad”

""Acompañamos a los empresarios en su proceso de internacionalización y transformación organizaciones a través de la agilidad y la innovación"""
"Juan Manuel España
Daniel Medina
Hermann Souza",Energías alternativas,Energias alternativas ,"Nuestro propósito es que la principal fuente de energía sea renovable, local e independiente mediante el financiamiento y desarrollo de sistemas de energía solar distribuida. Nos enfocamos en ofrecer energía solar como servicio para PYMES y copropiedades, generando ahorros inmediatos y reducción de su huella de carbono sin inversión inicial.
Conoce más en www.evolti.co "
KIDBUK,Entretenimiento,Retail ,"Somos una marca colombiana de juguetes sensoriales para niños hechos a mano que aportan al desarrollo motriz. Kidbuk es crear, es jugar con la imaginación, es inventar historias, es buscar despertar la intuición y el aprendizaje.  Nuestra intención es recuperar la tradición del juego y aquellos momentos que parecen olvidados a causa de la tecnología."
Karen Tatiana Valencia Rivero,Salud,Belleza ,"Desarrollo de cosméticos naturales, veganos, libres de crueldad animal, 100% Colombianos"
Frank Gomez; Fernando Jaimes; Carlos Higuera,Tecnología,Contable ,"Plataforma web de inventarios en tiempo real, para el control y manejo de los materiales dentro de la empresa que se consumen y producen, en un entorno flexible que se adapta a tus necesidades, de forma sencilla y rápida de implemetar por tus colaboradores."
"ALL MAGIA - TIENDA DE CONSCIENCIA Y BIENESTAR 
Maria Camila Morales Espinosa
Juliana Santa Galvis",,Retail,"Somos una tienda de consciencia y bienestar que ofrece productos y servicios para ayudar a las personas a cuidarse naturalmente, elevar su nivel de consciencia y tener una mejor salud tanto física como emocional. Para apoyar nuestra misión realizamos consultorías y  talleres empresariales en diferentes temas como: Hábitos saludables, manejo del estrés, reducción de la carga tóxica, concentración y productividad, descanso, manejo emocional, entre otros de acuerdo a las necesidades de la organización.  Además, complementamos nuestra labor, ayudando a las empresas a otorgar regalos conscientes a su empleados, que puedan usar en pro de su salud y bienestar. "
Monica Villegas,Tecnología,Crowfounding ,Emprendimiento social de crowfunding para Fundaciones 
Zenaida Acosta,Educación,Lenguas extrangeras,"Se ofecen clases de alemán para empresarios trabajadores, turistas  y ejecutivos orientadas hacia el trabajo y / o la comunicación.
https://beyko.co

"
Andres joya,"Servicios de consultoria,Recursos Humanos,Educación",Recursos humanos,plataforma de talento para recien egresados o por proyectos 
jULIO GUZMAN,"""Energía, gas, minería"",Servicios de consultoria,Agropecuario",Oil & Gas,"Importación y Distribución de Bienes y Servicios para las Empresas Operadoras del Sector Petróleo y Gas, tales como: tubería, productos químicos, herramientas y equipos."
"Jeniffer Mantilla
Andres Alonso",Tecnología,Tecnología de información ,"El enfoque de Bmotik es evolucionar digitalmente eventos, crear comunidades digitales y optimizar procesos en organizaciones que utilicen membresías o asociados"
"Jeniffer Mantilla
Andres Alonso",Tecnología,"Tecnología de información 
","El enfoque de Bmotik es evolucionar digitalmente eventos, crear comunidades digitales y optimizar procesos en organizaciones que utilicen membresias o asociados"
Paula Andrea Cortés Q,Alimentos y/o bebidas,Alimentos y/o bebidas ,"Love Healthy Cakes
Pastelería Saludable sin trigo y sin azucar añadida.
Apta para diabeticos, opciones Keto, Low Carb, Veganas, Gluten Free.
También tenemos opciones tradicionales (con trigo y con azúcar bajo pedido)"
Sebastián gama ,Construcción,Construcción,"Mantenimiento, Alquiler de maquinaria pesada y obras civiles "
Jonnathan Bermúdez González.,Servicios de consultoria,BPO-RPA ,"Sin importar el tamaño y edad de una organización, cada paso en el crecimiento y estabilización requiere diferentes estrategias, tácticas, procesos y tecnologías que conforman en conjunto los ""estándares personalizados"". Si bien siempre debemos tener en cuenta la existencias de metodologías y artefactos de clase mundial que ya están allí para tomarlas como referencia, es necesario construir los estándares propios para lograr cada objetivo, y re-construir los estándares ha medida que se va creciendo. Cada etapa de la organización requiere los estándares apropiados para lograr los objetivos y continuar con el siguiente paso.

Aquí es donde StandardQ entra en acción, trabajando mano a mano con las organizaciones para identificar y establecer los estándares apropiados alineados a la obtención de sus objetivos y facilitar su materialización."
Liliana Beltran Jimenez,Tecnología,Legal,"Somos una empresa legaltech, digitalizamos y automatizamos procesos legales"
Catalina Brugman Álvarez,Comunicaciones y marketing,Industrias creativas ,"Venta de libro BOGOTÁ sobre lugares turísticos, culturales y ecológicos de la ciudad de Bogotá. Incluye mapas de recorridos, fotografías y descripción de los lugares destacables de la ciudad. Escrito en idioma Inglés."
Alejandro Casas Nova,Industria,Retail ,"CASANOVA ofrece la mezcla perfecta de estilo y comodidad para cualquier ocasión. Nuestros sombreros están hechos a  mano por artesanos colombianos, con los mejores materiales para garantizar la máxima durabilidad y resistencia.  Te brinda la posibilidad de personalizar el color de la cinta (unicolor, bicolor o tricolor)  o  elegir dentro de la gama de combinaciones con las que contamos.  Adicionalmente, vienen con un cordón, opcional, que puedes poner o retirar de acuerdo a tu gusto u ocasión. Nuestros sombreros son perfectos para un día en la playa, una reunión informal o una noche en la ciudad. "
Jorge Andrés Quiroz Cañizares,"Servicios de consultoria,Salud",Recursos humanos ,"Somos una empresa especializada en psicología al alcance de todos para generar proyectos y soluciones en todos los campos de acción jurídica, social, organizacional y forense"
Santiago Martinez Piña ,Educación,Deportes ,"Club deportivo de formación en la disciplina del fútbol, con un enfasis en la formación de los niños niñas.y adolecentes como seres humanos."
Mateo Cruz Sanclemente,Industria,Retail,"Con sede en Bogotá, Colombia. AmigosMCS es un lugar para encontrar todos los artículos de fútbol vintage. Nuestro equipo especializado esta enfocado en encontrar la mejor selección de camisetas clásicas del fútbol para ti.

Hacemos un esfuerzo muy grande para que puedas tener este hermoso recuerdo contigo. 

Este sueño surgió del amor por el fútbol, ​​la nostalgia y el estilo. Fue fundado en 2019 por una persona que desde los 4 años ha estado enamorada del fútbol. Y que creé en el desarrollo del país. Él, junto con su equipo buscan promover el empleo y el desarrollo de Colombia. Gracias a ti está cumpliendo su sueño, ya que podemos generar empleo y apoyar iniciativas sociales. 

El 50% de nuestros envíos se hacen en medios de transporte con energías 100% renovables y limpias.

Siempre estamos ampliando nuestra selección y buscamos desarrollar diseños originales inspirados en la época. Si tienes una idea que deseas compartir, ponte en contacto con nosotros."
Juan Francisco Sanchez Hueje,Servicios de consultoria,Farmaceutico ,Somos una compañía de análisis estratégico especializada en el sector de insumos médico quirúrgicos y farmacéuticos
Camilo Fernández Vergara,Salud,Belleza ,Somos una Plataforma de estética con Centros Low Cost que contribuye a solucionar el problema de la baja asequibilidad a tratamientos estéticos confiables.
"Estefania Barreto
Javier Farfán",Industria,Retail,La primera boutique online especializada en artes marciales tradicionales japonesas en Colombia. Las mejores marcas del Budo están en BudoColombia.com. 
Carlos Alberto Páez Martínez,"Tecnología,Educación",Recursos hidricos ,Sitio web increagua.com.co que contiene textos y software para que los usuarios puedan realizar proyectos para el tratamiento y el aprovechamiento del agua utilizando tecnologías novedosas 
Laura Daniela Piñeros Roa,"Agropecuario,Alimentos y/o bebidas",Alimentos y/o bebidas ,"SantiLala CAFÉ, es un emprendimiento que nace por la pasión que tenemos al ciclismo y al buen café. El aroma y sabor de una taza de café en la mañana, alimenta nuestra alma y nos provee la energía necesaria para salir a rodar. Es así como luchamos contra la adversidad física y mental. 

Es un café excelso, de categoría PREMIUM, proveniente de la Región del Valle de Tenza, 3 municipios de Cundinamarca y 15 de Boyacá. Lo procesamos y lo 
empacamos en el municipio de Guayatá, Boyacá.
"
Juan Pablo Velásquez,Tecnología,Inmobiliario,Pupa digitaliza la gestión inmobiliaria en Latinoamérica a través de herramientas de automatización operativa y productos financieros para administradores e inmobiliarias
Andres Arturo Giron,Recursos Humanos,,"Nuestro equipo de escritores está compuesto por expertos de diferentes industrias y áreas como recursos humanos, mercadeo, ingeniería, educación, tecnología, y muchos otros sectores. Es así, como garantizamos que tu próxima hoja de vida esté alineada con las necesidades de las diferentes empresas, con una historia profesional impactante que destaque entre la multitud de hojas de vida, a la vez que cuenta con todos los requisitos que solicitan los sistemas de gestión de candidatos."
Nohora Carrillo Nieto,Salud,,"Nuna Sinsi es la agencia de viajes colombiana que trabaja para aportarle bienestar 
a la humanidad a través de la medicina natural. 

Nuestro portafolio de experiencias de bienestar con medicina ancestral indígena cuenta con actividades de 4 y 12 horas, en las cuales el cliente podrá conocer y experimentar los beneficios de la medicina tradicional a la vez que aprende sobre la los saberes ancestrales, la tradición y cosmovisión de los pueblos Cofán, Inga y Nasa; y contribuye al desarrollo económico y social de estas comunidades."
Diana Carolina Perez Cabas,"Servicios de consultoria,Recursos Humanos,Educación",,"Proyectos y Certificación en Salario Emocional - Fogata del bienestar - Herramientas de Inteligencia Artificial para el desarrollo de personas y lideres - Valoraciones gerenciales - Desarrollo de habilidades para la productividad - Coaching Ejecutivo - Apoyo en procesos estrategicos de talento humano en Pymes - 


Iluminar y energizar a personas y empresas, que quieran lograr objetivos propios y colectivos al diseñar experiencias de aprendizaje y cambio, marcando una diferencia positiva en su organización y cumpliendo con sus expectativas mas preciadas, con el objetivo de incrementar significativamente su Bien-ESTAR, desempeño y rentabilidad. 
"
Lorena Cardenas Rodriguez,Servicios de consultoria,,"Firma de Abogados haciendo uso de las tecnologias como App, asesoría online, digitalizacion aunque tambien presencial de las disciplinas propias del derecho tributario, aduanero, cambiario, bancario y financiero, societario y M&A. Estos servicios serán llevados a cabo por un equipo de profesionales expertos en estas disciplinas, con una amplia experiencia en la asesoría de compañías nacionales y extranjeras, públicas y privadas."
JUAN CARLOS TAMAYO SANDOVAL,Servicios de consultoria,,"Agencia de seguros, representamos las principales aseguradoras del paìs en todos los ramos de seguros con enfasis en seguros generales, tales como aviaciòn, cumplimiento, seguros de transporte, seguros para empresas, seguros para construcciòn y montaje, seguros de riesgos laborales, seguros de AP para instituciones educativas, entre otros."
Maria Constanza PardoSarmiento ,"Alimentos y/o bebidas,Agropecuario",,"Cacao 100% natural, soluble, extrafino. Características ÚNICAS EN EL MERCADO NACIONAL E INTERNACIONAL. Sin ningún aditivo. Avalado por la Asociación Colombiana de Diabetes. Cultivado por familias reinsertadas y trabajadoras, en el Golfo de Urabá. 
Productos elaborados por ABEJAS COLOMBIANAS.
LEONARDITA, mineral que transforma tierras áridas e improductivas en campos productivos y fértiles."
Juan Pablo Zuluaga Peña,Salud,,"Somos un grupo de investigación colombiano conformado por profesionales de la salud expertos en epidemiología clínica, economía de la salud y estadística con el objetivo de generar evidencia que permita estandarizar las prácticas clínicas y contribuir al bienestar de los pacientes."
Michel de Oro Genes,"""Energía, gas, minería"",Energías alternativas,Educación,Tecnología",,"Brindar a jóvenes, a través de la domótica, un campo profesional que les permita asimilar de una manera práctica las tecnologías más actuales y de mayor crecimiento brindándoles de esta manera un campo de desarrollo laboral que redunde en un mejor futuro y que ubique a Colombia como país de vanguardia a nivel mundial en el desarrollo de soluciones de domótica para construcciones más inteligentes, verdes y de mejor eficiencia energética.   "
CARLOS ANIBAL RAMOS CRUZ,Servicios de consultoria,,"Somos una firma DE ABOGADOS que presta servicios legales cuya propuesta de valor diferenciadora son los precios, la posibilidad de acceder a un abogado por una membresía y la calidad que se ofrece, centrándonos en derecho laboral, derecho comercial y derecho empresarial. "
Catalina Brugman ,Comunicaciones y marketing,,Libro sobre la ciudad de Bogotá.
Catalina Brugman ,Comunicaciones y marketing,,Editorial Magnolia: venta de libros 
Adolfo Pazos,Salud,,Banda de estiramiento y productos Easy Flex
Catalina Brugman ,Comunicaciones y marketing,,Editorial Magnolia: venta de libros impresos y digitales.
Claudia Fabiola Acevedo Pazmiño,Industria,,"Mediante nuestro campo de acción del diseño textil producimos artículos reutilizando piezas de tela que hubieran sido desechadas, evitando así más contaminación innecesaria. Confeccionamos prendas de vestir y accesorios, combinando esas telas que reutilizamos con la técnica de Patchwork o apliques en una tela base"
Patricia Herrera,Alimentos y/o bebidas,,Producción y venta de productos de repostería. Servicio de Catering para eventos 
LEONARDO ANDRES BRTIO ARCILA,Alimentos y/o bebidas,,"¡Somos HANDY CAN! . Apoyados por el Gobierno Nacional, la Alcaldía Mayor de Bogotá y el Fondo Emprender del SENA. Nos especializamos en productos para mascotas (perros y gatos). Queremos ofrecerle una solución integral para el cuidado y bienestar de sus mascotas y clientes.
Contamos con dos líneas de negocio. La primera es HANDY CAN FOOD donde producimos, comercializamos y distribuimos comida barf, snacks saludables de cordero horneado y helados artesanales. La segunda línea ofrecemos bolsas biodegradables hechas con fécula de maíz, spray antiorines para mascotas y baños secos para ( perros y gatos).
"
Laberinto Cerveceria (Camilo Fernandez y Lina Fernandez),Alimentos y/o bebidas,,Producir cerveza de manera artesanal y respetando su proceso natural de fermentación para las personas que quieran una bebida que les ofrezca una experiencia de sabores y aromas por fuera de la concepción tradicional colombiana de la cerveza. 
Maria Constanza PardoSarmiento ,Industria,,"Del diseño a la creación o… de la idea al boceto… y de allí la mano y el cerebro aplican, unidas al trozo de madera. Productos funcionales, cotidianos, utilitarios o quizá simplemente objetos! Ser CARPINTERO y transformar para el disfrute, el reto frente a la materia ‘inerte pero VIVAZ’! Carpinteros por goce, por amor por pasión por diseño."
Laura Daniela Muñoz,Construcción,,"Somos Ambana, una plataforma que facilita la inversión fraccionada en oportunidades inmobiliarias, lo que permite a cualquier persona invertir en ladrillos y soñar con la independencia financiera a largo plazo a través de ingresos pasivos.
Nuestra plataforma ayuda a los clientes a diversificar su cartera de inversiones con un bajo punto de entrada y conectarse emocionalmente con diversos productos dentro a través una experiencia de usuario intuitiva y 100% online!

www.ambana.com"
